World Series,National League,Wins,American League,Wins
4 Game Series,[5 - 4 in Series Play],,[9 - 5 in Series Play],
1991 World Series,Atlanta Braves,3,Minnesota Twins,4
7 Game Series,[2 - 3 in Series Play],,[3 - 3 in Series Play],
1992 World Series,Atlanta Braves,2,Toronto Blue Jays,4
6 Game Series,[2 - 4 in Series Play],,[1 - 0 in Series Play],
1993 World Series,Philadelphia Phillies,2,Toronto Blue Jays,4
6 Game Series,[1 - 4 in Series Play],,[2 - 0 in Series Play],
1995 World Series,Atlanta Braves,4,Cleveland Indians,2
6 Game Series,[3 - 4 in Series Play],,[2 - 2 in Series Play],
1996 World Series,Atlanta Braves,2,New York Yankees,4
6 Game Series,[3 - 5 in Series Play],,[23 - 11 in Series Play],
1997 World Series,Florida Marlins,4,Cleveland Indians,3
7 Game Series,[1 - 0 in Series Play],,[2 - 3 in Series Play],
1998 World Series,San Diego Padres,0,New York Yankees,4
4 Game Series,[0 - 2 in Series Play],,[24 - 11 in Series Play],
1999 World Series,Atlanta Braves,0,New York Yankees,4
4 Game Series,[3 - 6 in Series Play],,[25 - 11 in Series Play],
2000 World Series,New York Mets,1,New York Yankees,4
5 Game Series,[2 - 2 in Series Play],,[26 - 11 in Series Play],
2001 World Series,Arizona Diamondbacks,4,New York Yankees,3
7 Game Series,[1 - 0 in Series Play],,[26 - 12 in Series Play],
2002 World Series,San Francisco Giants,3,Anaheim Angels,4
7 Game Series,[5 - 12 in Series Play],,[1 - 0 in Series Play],
2003 World Series,Florida Marlins,4,New York Yankees,2
6 Game Series,[2 - 0 in Series Play],,[26 - 13 in Series Play],
2004 World Series,St. Louis Cardinals,0,Boston Red Sox,4
4 Game Series,[9 - 7 in Series Play],,[6 - 4 in Series Play],
2005 World Series,Houston Astros,0,Chicago White Sox,4
4 Game Series,[0 - 1 in Series Play],,[3 - 2 in Series Play],
2006 World Series,St. Louis Cardinals,4,Detroit Tigers,1
5 Game Series,[10 - 7 in Series Play],,[4 - 6 in Series Play],
2007 World Series,Colorado Rockies,0,Boston Red Sox,4
4 Game Series,[0 - 1 in Series Play],,[7 - 4 in Series Play],
2008 World Series,Philadelphia Phillies,4,Tampa Bay Rays,1
5 Game Series,[2 - 4 in Series Play],,[0 - 1 in Series Play],
2009 World Series,Philadelphia Phillies,2,New York Yankees,4
6 Game Series,[2 - 5 in Series Play],,[27 - 13 in Series Play],
2010 World Series,San Francisco Giants,4,Texas Rangers,1
5 Game Series,[6 - 12 in Series Play],,[0 - 1 in Series Play],
2011 World Series,St. Louis Cardinals,4,Texas Rangers,3
  7 Game Series,[11 - 7 in Series Play],,[0 - 2 in Series Play],
2012 World Series,San Francisco Giants,4,Detroit Tigers,0
4 Game Series,[7 - 12 in Series Play],,[4 - 7 in Series Play],
2013 World Series,St. Louis Cardinals,2,Boston Red Sox,4
  6 Game Series,[11-8 in Series Play],,[8 - 4 in Series Play],
2014 World Series,San Francisco Giants,4,Kansas City Royals,3
  7 Game Series,[8 - 12 in Series Play],,[1 - 2 in Series Play],
2015 World Series,New York Mets,1,Kansas City Royals,4
  5 Game Series,[2 - 3 in Series Play],,[2 - 2 in Series Play],
2016 World Series,Chicago Cubs,4,Cleveland Indians,3
7 Game Series,[3 - 8 in Series Play],,[2 - 4 in Series Play],
2017 World Series,Los Angeles Dodgers,3,Houston Astros,4
7 Game Series,[6 - 13 in Series Play],,[1 - 1 in Series Play],
2018 World Series,Los Angeles Dodgers,1,Boston Red Sox,4
5 Game Series,[6 - 14 in Series Play],,[9 - 4 in Series Play],
2019 World Series,Washington Nationals,4,Houston Astros,3
7 Game Series,[1- 0 in Series Play],,[1 - 2 in Series Play],
2020 World Series,Los Angeles Dodgers,4,Tampa Bay Rays,2
  6 Game Series,[7 - 14 in Series Play],,[0 - 2 in Series Play],
2021 World Series,Atlanta Braves,4,Houston Astros,2
  6 Game Series,[4 - 6 in Series Play],,[1 - 3 in Series Play],
2022 World Series,Philadelphia Phillies,2,Houston Astros,4
  6 Game Series,[2 - 6 in Series Play],,[2 - 3 in Series Play],
